Product_Label,Economy_Label,Partner_Label,1995_US_dollars_at_current_prices_in_thousands_Value,1995_US_dollars_at_current_prices_Footnote,1995_US_dollars_at_current_prices_MissingValue,1996_US_dollars_at_current_prices_in_thousands_Value,1996_US_dollars_at_current_prices_Footnote,1996_US_dollars_at_current_prices_MissingValue,1997_US_dollars_at_current_prices_in_thousands_Value,1997_US_dollars_at_current_prices_Footnote,1997_US_dollars_at_current_prices_MissingValue,1998_US_dollars_at_current_prices_in_thousands_Value,1998_US_dollars_at_current_prices_Footnote,1998_US_dollars_at_current_prices_MissingValue,1999_US_dollars_at_current_prices_in_thousands_Value,1999_US_dollars_at_current_prices_Footnote,1999_US_dollars_at_current_prices_MissingValue,2000_US_dollars_at_current_prices_in_thousands_Value,2000_US_dollars_at_current_prices_Footnote,2000_US_dollars_at_current_prices_MissingValue,2001_US_dollars_at_current_prices_in_thousands_Value,2001_US_dollars_at_current_prices_Footnote,2001_US_dollars_at_current_prices_MissingValue,2002_US_dollars_at_current_prices_in_thousands_Value,2002_US_dollars_at_current_prices_Footnote,2002_US_dollars_at_current_prices_MissingValue,2003_US_dollars_at_current_prices_in_thousands_Value,2003_US_dollars_at_current_prices_Footnote,2003_US_dollars_at_current_prices_MissingValue,2004_US_dollars_at_current_prices_in_thousands_Value,2004_US_dollars_at_current_prices_Footnote,2004_US_dollars_at_current_prices_MissingValue,2005_US_dollars_at_current_prices_in_thousands_Value,2005_US_dollars_at_current_prices_Footnote,2005_US_dollars_at_current_prices_MissingValue,2006_US_dollars_at_current_prices_in_thousands_Value,2006_US_dollars_at_current_prices_Footnote,2006_US_dollars_at_current_prices_MissingValue,2007_US_dollars_at_current_prices_in_thousands_Value,2007_US_dollars_at_current_prices_Footnote,2007_US_dollars_at_current_prices_MissingValue,2008_US_dollars_at_current_prices_in_thousands_Value,2008_US_dollars_at_current_prices_Footnote,2008_US_dollars_at_current_prices_MissingValue,2009_US_dollars_at_current_prices_in_thousands_Value,2009_US_dollars_at_current_prices_Footnote,2009_US_dollars_at_current_prices_MissingValue,2010_US_dollars_at_current_prices_in_thousands_Value,2010_US_dollars_at_current_prices_Footnote,2010_US_dollars_at_current_prices_MissingValue,2011_US_dollars_at_current_prices_in_thousands_Value,2011_US_dollars_at_current_prices_Footnote,2011_US_dollars_at_current_prices_MissingValue,2012_US_dollars_at_current_prices_in_thousands_Value,2012_US_dollars_at_current_prices_Footnote,2012_US_dollars_at_current_prices_MissingValue,2013_US_dollars_at_current_prices_in_thousands_Value,2013_US_dollars_at_current_prices_Footnote,2013_US_dollars_at_current_prices_MissingValue,2014_US_dollars_at_current_prices_in_thousands_Value,2014_US_dollars_at_current_prices_Footnote,2014_US_dollars_at_current_prices_MissingValue,2015_US_dollars_at_current_prices_in_thousands_Value,2015_US_dollars_at_current_prices_Footnote,2015_US_dollars_at_current_prices_MissingValue,2016_US_dollars_at_current_prices_in_thousands_Value,2016_US_dollars_at_current_prices_Footnote,2016_US_dollars_at_current_prices_MissingValue,2017_US_dollars_at_current_prices_in_thousands_Value,2017_US_dollars_at_current_prices_Footnote,2017_US_dollars_at_current_prices_MissingValue,2018_US_dollars_at_current_prices_in_thousands_Value,2018_US_dollars_at_current_prices_Footnote,2018_US_dollars_at_current_prices_MissingValue,2019_US_dollars_at_current_prices_in_thousands_Value,2019_US_dollars_at_current_prices_Footnote,2019_US_dollars_at_current_prices_MissingValue,2020_US_dollars_at_current_prices_in_thousands_Value,2020_US_dollars_at_current_prices_Footnote,2020_US_dollars_at_current_prices_MissingValue,2021_US_dollars_at_current_prices_in_thousands_Value,2021_US_dollars_at_current_prices_Footnote,2021_US_dollars_at_current_prices_MissingValue,2022_US_dollars_at_current_prices_in_thousands_Value,2022_US_dollars_at_current_prices_Footnote,2022_US_dollars_at_current_prices_MissingValue
"TOTAL ALL PRODUCTS","Canada","Germany",2417095,,,2448428,,,1974202,,,1829560,,,1625028,,,2121441,,,1893282,,,1883499,,,2080686,,,2065303,,,2674962,,,3487002,,,3587148,,,4220558,,,3250435,,,3676691,,,3859481,,,3400976,,,3188393,,,2687178,,,2705141,,,2959241,,,3094368,,,3627920,,,4576108,,,4492192,,,5180946,,,5542838,,
"TOTAL ALL PRODUCTS","Canada","India",320921,,,258701,,,354325,,,262561,,,281734,,,362136,,,437067,,,430353,,,545505,,,662854,,,898252,,,1476711,,,1671504,,,2282702,,,1879253,,,1999923,,,2654521,,,2362841,,,2719613,,,2914562,,,3378051,,,3005579,,,3296682,,,3314902,,,3648541,,,2768165,,,2386981,,,4102629,,
"TOTAL ALL PRODUCTS","Canada","Italy",1341137,,,1006724,,,1112325,,,1032964,,,972164,,,1164844,,,1067126,,,948962,,,1236286,,,1344767,,,1592399,,,1660448,,,2396171,,,2195234,,,1561044,,,1861381,,,1988452,,,1709323,,,1896071,,,3772708,,,1781963,,,1765720,,,1765750,,,2400869,,,2442420,,,2788632,,,2127391,,,2193332,,
"TOTAL ALL PRODUCTS","Canada","Japan",8775982,,,8222161,,,8063374,,,5805636,,,5650492,,,6111292,,,5388451,,,5328024,,,5853852,,,6587074,,,7578135,,,8306151,,,8603085,,,10464782,,,7299595,,,8932610,,,10776245,,,10350578,,,10325007,,,9725092,,,7644506,,,8085366,,,9120763,,,10000690,,,9507872,,,9243586,,,11566284,,,13802653,,
"TOTAL ALL PRODUCTS","Canada","Russian Federation",152458,,,243150,,,273858,,,194120,,,120974,,,135249,,,187519,,,152675,,,238493,,,319620,,,467525,,,772154,,,1070435,,,1412108,,,781379,,,1155951,,,1511605,,,1653352,,,1350040,,,1121787,,,469800,,,454670,,,517035,,,440315,,,499352,,,471244,,,523750,,,165340,,
"TOTAL ALL PRODUCTS","Canada","South Africa",,,,,,,,,,,,,,,,163147,,,120523,,,162075,,,226120,,,280784,,,374916,,,577257,,,731642,,,885090,,,391921,,,455274,,,689751,,,634731,,,453147,,,397235,,,486032,,,353741,,,273080,,,317066,,,267417,,,233774,,,306808,,,363610,,
"TOTAL ALL PRODUCTS","Canada","United Kingdom",2835243,,,5504486,,,2793669,,,2975000,,,5467509,,,3856990,,,3268685,,,2823886,,,4351083,,,5953335,,,6823033,,,8937980,,,11929630,,,12268164,,,10588184,,,15899871,,,18976766,,,18776318,,,13556428,,,13764189,,,12481346,,,12901540,,,13633125,,,12817197,,,14923438,,,14855375,,,13153090,,,13970405,,
"TOTAL ALL PRODUCTS","Canada","United States of America",151400304,,,161108659,,,176882020,,,181853786,,,205020266,,,241728902,,,227244275,,,220072351,,,233380458,,,267804200,,,302195424,,,316556507,,,331601972,,,353782675,,,236480912,,,289418959,,,331755016,,,338260043,,,346035155,,,364959373,,,313544846,,,296440401,,,318570260,,,337466429,,,335677010,,,284477539,,,378065474,,,457788208,,
"TOTAL ALL PRODUCTS","Canada","World",191117744,,,202262551,,,216037339,,,214606353,,,238778008,,,277419921,,,261058775,,,252584260,,,272229686,,,317161192,,,360552446,,,388178676,,,419881604,,,455632184,,,315176831,,,386579900,,,450430008,,,454098967,,,456598271,,,475177176,,,408697324,,,388853142,,,420074382,,,450392396,,,445492736,,,388376909,,,501463002,,,594708464,,
"TOTAL ALL PRODUCTS","Canada","Africa",999687,,,995968,,,1286850,,,1204274,,,909518,,,1052750,,,998118,,,1071915,,,1192593,,,1308641,,,1717425,,,2251330,,,3132197,,,4018685,,,2948400,,,3297441,,,3523973,,,3843927,,,3892928,,,4249148,,,3548548,,,2837585,,,3118688,,,3496894,,,3885990,,,3787467,,,4295210,,,4236011,,
"TOTAL ALL PRODUCTS","Canada","Americas",155471262,,,165339900,,,181860945,,,186231033,,,208903716,,,245977735,,,231915439,,,223981911,,,237462117,,,273425214,,,309182244,,,325526333,,,342493139,,,367492711,,,246101159,,,301634164,,,346031360,,,352310802,,,359308105,,,377954215,,,325173551,,,307685518,,,330304954,,,350290984,,,347253618,,,294856146,,,392375112,,,474503493,,
"TOTAL ALL PRODUCTS","Canada","Asia",19738329,,,18703967,,,18908500,,,13333095,,,13277679,,,15242794,,,14056407,,,14029915,,,16419562,,,20936212,,,24446509,,,28901967,,,33525372,,,41056978,,,34455893,,,40613236,,,52246978,,,51524629,,,53696709,,,51223214,,,45426001,,,43470417,,,48705431,,,55806908,,,52509470,,,48223368,,,59422314,,,65524394,,
"TOTAL ALL PRODUCTS","Canada","Europe",12250127,,,14957141,,,11559315,,,11674290,,,14702935,,,14204893,,,13236203,,,12602182,,,15770562,,,19893373,,,23502728,,,29496438,,,38663276,,,40524855,,,29770254,,,38894846,,,46229339,,,43891545,,,37632998,,,39702980,,,32582219,,,32956779,,,35931757,,,38690508,,,39685597,,,39579569,,,43050392,,,47410550,,
"TOTAL ALL PRODUCTS","Canada","Oceania",1034553,,,928322,,,961960,,,817252,,,806235,,,941710,,,851122,,,896733,,,1381222,,,1595913,,,1701747,,,2002358,,,2066694,,,2535600,,,1899581,,,2139486,,,2397394,,,2520362,,,2065986,,,2046541,,,1962622,,,1899704,,,2012637,,,2106010,,,2157576,,,1929248,,,2291131,,,3023449,,
"TOTAL ALL PRODUCTS","China","Brazil",759059,,,762931,,,1044389,,,1085364,,,876002,,,1223545,,,1350925,,,1466382,,,2143256,,,3674104,,,4827209,,,7380106,,,11398472,,,18807457,,,14118518,,,24460652,,,31836677,,,33413633,,,35895471,,,34890134,,,27412225,,,21976153,,,28950538,,,33665139,,,35539064,,,34953228,,,53612224,,,61969971,,
"TOTAL ALL PRODUCTS","China","Canada",1532512,,,1615943,,,1906506,,,2126855,,,2432943,,,3157837,,,3345577,,,4303458,,,5632184,,,8161179,,,11653675,,,15516845,,,19360318,,,21795877,,,17675119,,,22216134,,,25266590,,,28125194,,,29216715,,,30003679,,,29422642,,,27312228,,,31375455,,,35153243,,,36931958,,,42094313,,,51510532,,,53704892,,
"TOTAL ALL PRODUCTS","China","France",1848496,,,1912740,,,2336796,,,2830754,,,2930015,,,3715888,,,3701083,,,4087772,,,7331063,,,9967437,,,11691653,,,13978874,,,20466709,,,23498662,,,21611741,,,27858709,,,30245913,,,27195963,,,26948466,,,28975791,,,27051527,,,24958617,,,27963502,,,31085268,,,33331864,,,37335185,,,46388200,,,46143668,,
"TOTAL ALL PRODUCTS","China","Germany",5671433,,,5842667,,,6496908,,,7354289,,,7779619,,,9277790,,,9751100,,,11371850,,,17442112,,,23755732,,,32527131,,,40314598,,,48744144,,,59208951,,,49919564,,,68047133,,,76399999,,,69212732,,,67342500,,,72703049,,,69154834,,,65214031,,,71134400,,,77489342,,,79789085,,,86807061,,,115181923,,,116226632,,
"TOTAL ALL PRODUCTS","China","India",765266,,,686014,,,933720,,,1016672,,,1161928,,,1560736,,,1895833,,,2671164,,,3343225,,,5936008,,,8934277,,,14581297,,,24051380,,,31585381,,,29666560,,,40913958,,,50536416,,,47677452,,,48432411,,,54217422,,,58228027,,,58397761,,,68042253,,,76675656,,,74825299,,,66719472,,,97510656,,,118501523,,
"TOTAL ALL PRODUCTS","China","Italy",2067570,,,1836568,,,2238938,,,2577506,,,2929805,,,3802022,,,3991555,,,4827435,,,6652321,,,9223774,,,11690507,,,15977188,,,21187737,,,26628788,,,20243632,,,31139647,,,33692731,,,25656013,,,25752660,,,28756397,,,27834410,,,26360472,,,29199962,,,33171610,,,33519784,,,32914227,,,43630019,,,50908036,,
"TOTAL ALL PRODUCTS","China","Japan",28466673,,,30886209,,,31838563,,,29660095,,,32410578,,,41654314,,,44940524,,,48433840,,,59408698,,,73509042,,,83986277,,,91622673,,,102062496,,,116132455,,,97910966,,,121043965,,,148268708,,,151626581,,,150132589,,,149391340,,,135616443,,,129268487,,,137258933,,,147048753,,,143244518,,,142596625,,,165822965,,,172927436,,
"TOTAL ALL PRODUCTS","China","Russian Federation",1664640,,,1692691,,,2038035,,,1839908,,,1497261,,,2233350,,,2710472,,,3520742,,,6029927,,,9098116,,,13211283,,,15832487,,,28529895,,,33075850,,,17513771,,,29612074,,,38903018,,,44056551,,,49591172,,,53676944,,,34756877,,,37339601,,,42830600,,,47965273,,,49748487,,,50504392,,,67550055,,,76122649,,
"TOTAL ALL PRODUCTS","China","South Africa",,,,,,,,,,,,,,,,1013646,,,1048574,,,1310635,,,2029364,,,2951904,,,3825965,,,5767709,,,7444900,,,8617622,,,7365588,,,10799862,,,13362300,,,15323312,,,16830776,,,15699146,,,15857922,,,12849508,,,14808767,,,16248381,,,16542942,,,15238826,,,21115297,,,24196442,,
