,Year,"ISO Code",Countries,"Economic Freedom Summary Index",Rank,Quartile,"Size of Government","Legal System & Property Rights","Sound Money","Freedom to trade internationally",Regulation
,2021,TUN,Tunisia,6.02,121,3,5.17,4.82,7.99,6.34,5.77
,2021,TUR,Türkiye,6.32,101,3,6.65,4.83,7.54,6.87,5.71
,2021,TWN,Taiwan,7.97,11,1,7.69,7.30,9.56,7.62,7.69
,2021,TZA,Tanzania,6.27,105,3,5.98,5.07,8.38,5.39,6.53
,2021,UGA,Uganda,6.64,83,2,7.02,4.25,9.40,6.23,6.32
,2021,UKR,Ukraine,6.17,112,3,7.26,4.58,6.96,6.67,5.36
,2021,URY,Uruguay,7.06,65,2,6.39,5.87,8.86,7.50,6.66
,2021,USA,"United States",8.14,5,1,7.13,7.86,9.38,8.07,8.29
,2021,VEN,"Venezuela, RB",3.01,165,4,4.65,2.29,0.94,4.99,2.17
,2021,VNM,Vietnam,6.26,106,3,6.53,5.15,7.02,6.52,6.10
,2021,YEM,"Yemen, Rep.",4.18,161,4,8.35,2.36,2.48,4.65,3.08
,2021,ZAF,"South Africa",6.53,94,3,5.95,5.76,8.16,6.43,6.35
,2021,ZMB,Zambia,5.84,129,4,6.13,4.77,7.33,6.07,4.89
,2021,ZWE,Zimbabwe,3.81,164,4,5.08,3.40,1.25,4.81,4.54
